nombre_hotel,estrellas,precio_noche,id_hotel,fecha_reserva
ibis Styles Madrid Prado,4.7,170,113,2025-02-20
Mercure Madrid Centro,4.4,106,194,2025-02-20
ibis budget Madrid Centro Lavapies,4.3,172,131,2025-02-20
ibis Styles Madrid Centro Maravillas,4.7,119,114,2025-02-20
Novotel Madrid Center,4.6,102,103,2025-02-20
ibis budget Madrid Calle 30,4.4,116,181,2025-02-20
ibis Madrid Centro las Ventas,4.5,90,128,2025-02-20
ibis budget Madrid Centro las Ventas,4.3,97,186,2025-02-20
Novotel Madrid City Las Ventas,4.6,84,135,2025-02-20
ibis Styles Madrid City Las Ventas,4.6,77,117,2025-02-20
